Parameterization,N,Run,Variable,Median R_hat,Maximum R_hat,Diagnostics OK,Mean,q05,q50,q95
Centered,2,64,theta[1],1.007015,1.0141,True,-0.011960344868015003,-1.067897155,-0.00314454845,1.02742714
Centered,2,65,log_sigma_sq,1.007075,1.02755,True,-1.397914476795425,-4.7007561,-1.2963369500000002,1.3285852449999997
Centered,2,65,theta[1],1.007075,1.02755,True,0.001638788869896497,-1.06245492,0.0088307019,1.0417869949999978
Centered,2,66,log_sigma_sq,1.02087,1.05059,False,-1.73480113902504,-5.3141676,-1.5752898499999999,1.2387387249999986
Centered,2,66,theta[1],1.02087,1.05059,False,0.0018414843073275016,-1.046648445,0.023861496500000003,1.0290595799999993
Centered,2,67,log_sigma_sq,1.0208650000000001,1.06666,False,-1.6818137695344977,-4.5920764,-1.6222229000000001,1.0599573049999993
Centered,2,67,theta[1],1.0208650000000001,1.06666,False,0.005612923875969749,-0.934860129,-0.0126743135,0.9669430749999994
Centered,2,68,log_sigma_sq,1.014645,1.05459,False,-1.4246583237016124,-4.3453081,-1.37006465,1.3284784999999988
Centered,2,68,theta[1],1.014645,1.05459,False,-0.005477615066007999,-1.05757278,-0.00667844045,1.0656003399999991
Centered,2,69,log_sigma_sq,1.0262250000000002,1.06845,False,-1.7587150259336828,-5.4090105,-1.5871736,1.2718609499999998
Centered,2,69,theta[1],1.0262250000000002,1.06845,False,-0.005578242572337001,-0.9903096914999999,-0.0225577355,1.0289440699999994
Centered,2,70,log_sigma_sq,1.0183200000000001,1.03635,False,-1.440972640184855,-4.4407371,-1.3487089,1.346720545
Centered,2,70,theta[1],1.0183200000000001,1.03635,False,0.0021620166874457506,-1.0298826349999999,0.006930813,1.086517769999999
Centered,2,71,log_sigma_sq,1.00821,1.0209,True,-1.5312746708080327,-4.1458863,-1.4733976000000002,1.137320229999999
Centered,2,71,theta[1],1.00821,1.0209,True,0.021980755311443705,-0.950082742,0.0166461925,1.0309717549999955
Centered,2,72,log_sigma_sq,1.0087199999999998,1.01847,True,-1.5910403459575526,-4.42168121,-1.56267175,1.2448094349999992
Centered,2,72,theta[1],1.0087199999999998,1.01847,True,0.0147017206253755,-0.8939686135,-0.0017025606,0.9627842954999983
Centered,2,73,log_sigma_sq,1.00663,1.01642,True,-1.4982759486592228,-4.520501,-1.4359134500000001,1.3560024800000001
Centered,2,73,theta[1],1.00663,1.01642,True,-0.0041913360021725,-1.0228333,-0.0056945292,1.025735749999999
Centered,2,74,log_sigma_sq,1.0250750000000002,1.05385,False,-1.636349900894185,-5.5786387,-1.4657087999999998,1.319716744999999
Centered,2,74,theta[1],1.0250750000000002,1.05385,False,0.0037295814710225023,-1.0256782,-0.0006794916,1.068777615
Centered,2,75,log_sigma_sq,1.01004,1.03235,False,-1.4097062490034078,-4.174170705,-1.3615037,1.1917646099999994
Centered,2,75,theta[1],1.01004,1.03235,False,-0.018067751622929003,-1.066986015,-0.0087443753,1.0692029599999995
Centered,2,76,log_sigma_sq,1.00692,1.01534,True,-1.4049055346294999,-3.768835025,-1.44092865,1.2416252999999997
Centered,2,76,theta[1],1.00692,1.01534,True,0.0032986312821249994,-1.0293228099999998,0.00222435305,1.001924209999998
Centered,2,77,log_sigma_sq,1.01752,1.05769,False,-1.3911240059580976,-4.39632779,-1.314734,1.2495700349999999
Centered,2,77,theta[1],1.01752,1.05769,False,0.00545775752858178,-1.0198286849999998,0.00929985195,1.0476665749999994
Centered,2,78,log_sigma_sq,1.0269650000000001,1.07527,False,-1.72668951257545,-5.1727959,-1.6269767499999999,1.2585601899999992
Centered,2,78,theta[1],1.0269650000000001,1.07527,False,0.005406903421567498,-0.9767072339999999,-0.00423030415,0.9965556379999998
Centered,2,79,log_sigma_sq,1.0079850000000001,1.02488,True,-1.3724066852086894,-4.212289495,-1.2739778,1.2942720299999992
Centered,2,79,theta[1],1.0079850000000001,1.02488,True,0.0030988219860548756,-0.99479937,0.0036840987,1.0271835149999997
Centered,2,80,log_sigma_sq,1.00339,1.00778,True,-1.25460295596827,-3.97522251,-1.20849,1.2709249049999998
Centered,2,80,theta[1],1.00339,1.00778,True,-0.0107065834380005,-1.163766805,0.00358521165,1.08505452
Centered,2,81,log_sigma_sq,1.02436,1.06451,False,-1.6118860650932674,-4.513913710000001,-1.5737995,1.3028509049999986
Centered,2,81,theta[1],1.02436,1.06451,False,0.0031313989556419957,-1.0550339999999998,0.0046323061,1.0758551999999986
Centered,2,82,log_sigma_sq,1.0052050000000001,1.01632,True,-1.1730219088732725,-3.8236945999999996,-1.11673725,1.391252585
